cli,psi,task_complexity_sovcm,session_minutes,vsi,fatigue,engagement,arm_id,font_size_pt,line_spacing,letter_spacing_px,reward
0.4355,0.639,0.7709,44,0.6514,0.43,0.1548,3,18,1.6,2.5,0.324
0.4854,0.6366,0.7787,38,0.3965,0.5609,0.3806,0,12,1.2,1.0,0.5054
0.5788,0.1315,0.4262,11,0.4826,0.1813,0.7674,3,18,1.6,2.5,0.0
0.3007,0.8699,0.6651,17,0.6178,0.4902,0.814,1,16,1.5,2.0,1.0
0.6286,0.2193,0.3499,33,0.5706,0.55,0.3463,0,12,1.2,1.0,0.683
0.4624,0.183,0.7118,13,0.5769,0.8213,0.5908,3,18,1.6,2.5,0.0941
0.58,0.1683,0.3305,16,0.1898,0.7477,0.2362,2,20,1.8,3.5,0.6331
0.4877,0.2263,0.3453,40,0.1854,0.2497,0.1186,1,16,1.5,2.0,0.6133
0.7578,0.7487,0.4129,13,0.8919,0.4387,0.8311,2,20,1.8,3.5,1.0
0.2415,0.4554,0.7585,8,0.1461,0.3138,0.1039,0,12,1.2,1.0,1.0
0.441,0.7115,0.3282,28,0.8903,0.4713,0.8937,3,18,1.6,2.5,0.5369
0.1482,0.1885,0.5078,31,0.1788,0.5574,0.7488,3,18,1.6,2.5,0.0
0.8264,0.1848,0.2461,32,0.3239,0.7926,0.6162,0,12,1.2,1.0,0.5181
0.4351,0.4281,0.3678,29,0.7327,0.6574,0.7318,1,16,1.5,2.0,1.0
0.1034,0.2898,0.5926,30,0.194,0.1518,0.8547,1,16,1.5,2.0,0.6807
0.3552,0.6114,0.2881,5,0.3669,0.325,0.8835,0,12,1.2,1.0,0.5793
0.5378,0.7833,0.2155,17,0.404,0.2727,0.2883,2,20,1.8,3.5,0.5318
0.4716,0.1367,0.4453,9,0.6513,0.864,0.7185,3,18,1.6,2.5,0.1431
0.1535,0.47,0.4669,26,0.6373,0.3035,0.8907,2,20,1.8,3.5,0.7427
0.672,0.4267,0.6107,41,0.2229,0.4487,0.6576,3,18,1.6,2.5,0.3671
0.6098,0.285,0.5871,17,0.1349,0.5855,0.5261,2,20,1.8,3.5,0.559
0.2911,0.7143,0.239,38,0.6609,0.2674,0.1941,1,16,1.5,2.0,1.0
0.5525,0.315,0.2924,7,0.6998,0.386,0.2557,0,12,1.2,1.0,0.636
0.6571,0.7483,0.5934,37,0.3756,0.2251,0.1053,3,18,1.6,2.5,0.1611
0.7831,0.5919,0.2273,27,0.6572,0.4079,0.7195,0,12,1.2,1.0,0.1684
0.6197,0.5763,0.7087,10,0.6751,0.5798,0.4821,0,12,1.2,1.0,0.2459
0.1208,0.7445,0.2645,38,0.4969,0.3638,0.63,1,16,1.5,2.0,0.9111
0.5131,0.1762,0.4607,4,0.7895,0.2453,0.3709,2,20,1.8,3.5,0.609
0.2221,0.4085,0.745,39,0.3177,0.8664,0.6724,1,16,1.5,2.0,1.0
0.6995,0.6108,0.7129,28,0.5319,0.6617,0.8981,0,12,1.2,1.0,0.1171
0.2126,0.8772,0.4753,4,0.3025,0.7509,0.5234,1,16,1.5,2.0,1.0
0.5152,0.2444,0.6622,42,0.3267,0.8516,0.8811,0,12,1.2,1.0,0.6286
0.2655,0.6935,0.5564,29,0.4569,0.4624,0.3579,1,16,1.5,2.0,1.0
0.1292,0.7788,0.7382,24,0.8589,0.7209,0.7783,1,16,1.5,2.0,0.6064
0.3723,0.7502,0.2871,1,0.5762,0.6553,0.3451,3,18,1.6,2.5,0.1772
0.2305,0.2137,0.4655,35,0.8555,0.7732,0.5319,1,16,1.5,2.0,1.0
0.5681,0.836,0.6471,12,0.3199,0.7356,0.7179,2,20,1.8,3.5,1.0
0.1463,0.805,0.7873,28,0.2366,0.437,0.1168,2,20,1.8,3.5,0.7795
0.1825,0.3681,0.5376,4,0.8257,0.4375,0.2528,2,20,1.8,3.5,0.5581
0.6268,0.203,0.5949,35,0.4332,0.3087,0.8214,1,16,1.5,2.0,0.8681
0.5197,0.439,0.4163,8,0.7829,0.4371,0.1035,1,16,1.5,2.0,0.9282
0.5743,0.2325,0.276,42,0.5898,0.8513,0.1436,1,16,1.5,2.0,0.7879
0.3057,0.437,0.6753,26,0.848,0.3052,0.7022,0,12,1.2,1.0,0.6147
0.5382,0.7751,0.5643,30,0.5713,0.6764,0.138,3,18,1.6,2.5,0.647
0.8112,0.6203,0.6909,19,0.225,0.6513,0.8178,3,18,1.6,2.5,0.234
0.2389,0.2997,0.7282,30,0.8308,0.4792,0.6341,3,18,1.6,2.5,0.2291
0.8833,0.8552,0.5578,14,0.858,0.8166,0.8925,0,12,1.2,1.0,0.2049
0.3785,0.4017,0.4983,43,0.203,0.6188,0.8321,3,18,1.6,2.5,0.158
0.5202,0.7356,0.5089,33,0.7133,0.2318,0.6719,2,20,1.8,3.5,0.6102
0.1815,0.1482,0.2525,5,0.413,0.4716,0.6827,2,20,1.8,3.5,0.2361
0.5801,0.7805,0.4708,37,0.5186,0.4215,0.3088,3,18,1.6,2.5,0.0671
0.5976,0.7465,0.528,43,0.33,0.6844,0.4147,3,18,1.6,2.5,0.053
0.5227,0.2851,0.237,16,0.882,0.8153,0.8838,1,16,1.5,2.0,0.6311
0.2223,0.2881,0.642,6,0.4251,0.5669,0.1708,3,18,1.6,2.5,0.1956
0.82,0.6274,0.592,12,0.46,0.3959,0.7562,1,16,1.5,2.0,0.9861
0.3397,0.5143,0.2694,4,0.209,0.7941,0.3058,0,12,1.2,1.0,0.6518
0.3706,0.4278,0.6872,44,0.8275,0.6227,0.1497,0,12,1.2,1.0,0.5459
0.33,0.2856,0.7389,41,0.6781,0.1273,0.8368,1,16,1.5,2.0,0.9674
0.2429,0.885,0.6451,18,0.5007,0.6508,0.3327,3,18,1.6,2.5,0.1799
0.4045,0.4401,0.2026,38,0.2744,0.4788,0.6272,3,18,1.6,2.5,0.1645
0.3739,0.3111,0.2797,44,0.5333,0.465,0.206,3,18,1.6,2.5,0.1789
0.3139,0.2013,0.5161,33,0.1454,0.145,0.6909,2,20,1.8,3.5,0.2367
0.2229,0.8697,0.308,12,0.752,0.363,0.4705,2,20,1.8,3.5,0.5521
0.2605,0.3368,0.7778,11,0.7499,0.5281,0.6166,1,16,1.5,2.0,1.0
0.5706,0.5321,0.4891,1,0.8042,0.3044,0.2087,3,18,1.6,2.5,0.1571
0.2695,0.793,0.2616,18,0.2453,0.1095,0.6981,0,12,1.2,1.0,0.5849
0.8562,0.3923,0.6218,33,0.3598,0.8141,0.4183,2,20,1.8,3.5,1.0
0.4186,0.4483,0.2328,29,0.8587,0.7652,0.8041,1,16,1.5,2.0,0.4588
0.6226,0.8189,0.5227,33,0.4322,0.5781,0.4773,3,18,1.6,2.5,0.62
0.2592,0.8423,0.5589,24,0.8738,0.8424,0.6696,0,12,1.2,1.0,0.2112
0.336,0.7922,0.2364,42,0.2331,0.6731,0.4054,0,12,1.2,1.0,0.5723
0.7423,0.8877,0.3794,39,0.6279,0.8798,0.3757,1,16,1.5,2.0,0.6363
0.6014,0.6322,0.3134,9,0.4019,0.4369,0.2124,1,16,1.5,2.0,0.9667
0.25,0.1203,0.4976,1,0.6329,0.5755,0.5534,0,12,1.2,1.0,0.5052
0.1991,0.6323,0.2193,7,0.711,0.2336,0.4966,0,12,1.2,1.0,0.6682
0.2881,0.8035,0.6519,3,0.2716,0.479,0.6058,0,12,1.2,1.0,0.6289
0.3277,0.8574,0.7011,39,0.8264,0.3352,0.3398,2,20,1.8,3.5,0.6835
0.2283,0.212,0.7456,42,0.5391,0.6285,0.2908,3,18,1.6,2.5,0.2287
0.4533,0.6356,0.6079,6,0.8403,0.2675,0.3109,2,20,1.8,3.5,0.7289
0.8491,0.4637,0.441,30,0.4422,0.3679,0.2669,3,18,1.6,2.5,0.243
0.6485,0.8313,0.3148,32,0.1053,0.7407,0.3241,2,20,1.8,3.5,0.5662
0.4154,0.814,0.3397,42,0.2342,0.8853,0.4462,1,16,1.5,2.0,1.0
0.1735,0.4589,0.4846,3,0.4979,0.3804,0.2973,1,16,1.5,2.0,1.0
0.6081,0.4745,0.4456,35,0.6159,0.6096,0.2779,3,18,1.6,2.5,0.2
0.1295,0.2709,0.4477,32,0.1224,0.4559,0.1959,3,18,1.6,2.5,0.0
0.4243,0.1788,0.6977,23,0.5683,0.2306,0.1852,0,12,1.2,1.0,0.7625
0.3763,0.1362,0.2389,38,0.7263,0.7811,0.1531,1,16,1.5,2.0,1.0
0.3713,0.6201,0.3711,10,0.5706,0.6452,0.49,0,12,1.2,1.0,0.5456
0.1033,0.3623,0.5657,36,0.2556,0.3656,0.2811,2,20,1.8,3.5,0.1877
0.3368,0.8056,0.7302,24,0.7967,0.1613,0.2009,2,20,1.8,3.5,0.6493
0.6534,0.8764,0.4801,3,0.2452,0.4504,0.652,0,12,1.2,1.0,0.7582
0.8009,0.3125,0.524,17,0.6162,0.7099,0.5107,0,12,1.2,1.0,0.1196
0.2487,0.8473,0.5637,20,0.1194,0.301,0.4859,3,18,1.6,2.5,0.1787
0.424,0.3698,0.4702,43,0.132,0.6542,0.717,1,16,1.5,2.0,1.0
0.8727,0.8895,0.5411,5,0.5364,0.3089,0.156,3,18,1.6,2.5,0.6736
0.2483,0.8378,0.7827,31,0.5506,0.8444,0.698,2,20,1.8,3.5,0.9632
0.8616,0.5571,0.2124,3,0.7375,0.2022,0.781,0,12,1.2,1.0,0.5483
0.1282,0.3648,0.5041,27,0.5637,0.8842,0.5801,0,12,1.2,1.0,0.4662
0.7935,0.8712,0.7407,31,0.1797,0.5924,0.2814,0,12,1.2,1.0,0.239
0.7708,0.8508,0.4002,30,0.5032,0.6269,0.2003,3,18,1.6,2.5,0.6758
0.7243,0.5788,0.6943,14,0.2375,0.1504,0.6201,0,12,1.2,1.0,0.7111
0.4404,0.2082,0.2143,15,0.1022,0.859,0.2362,1,16,1.5,2.0,1.0
0.7389,0.896,0.5723,23,0.4623,0.1477,0.1872,1,16,1.5,2.0,0.8361
0.7636,0.3161,0.643,34,0.5077,0.3314,0.8882,2,20,1.8,3.5,0.3573
0.188,0.6272,0.7407,27,0.1835,0.8235,0.6284,0,12,1.2,1.0,0.7628
0.6682,0.7174,0.477,8,0.5553,0.3866,0.4758,0,12,1.2,1.0,0.572
0.1213,0.5868,0.4151,10,0.145,0.545,0.388,3,18,1.6,2.5,0.0
0.431,0.4274,0.652,38,0.7643,0.1383,0.5126,0,12,1.2,1.0,0.6168
0.1115,0.1553,0.3641,28,0.3772,0.877,0.2336,1,16,1.5,2.0,1.0
0.8557,0.2405,0.6552,37,0.2983,0.5022,0.7071,3,18,1.6,2.5,0.2885
0.7665,0.3786,0.2724,33,0.3716,0.6169,0.4787,2,20,1.8,3.5,0.5528
0.8052,0.6124,0.5747,34,0.3158,0.6508,0.3844,3,18,1.6,2.5,0.1511
0.7537,0.8382,0.4563,20,0.3681,0.6288,0.8021,3,18,1.6,2.5,0.6446
0.6646,0.7701,0.3515,29,0.6101,0.5367,0.8801,2,20,1.8,3.5,0.9445
0.2879,0.7714,0.3111,23,0.8426,0.7573,0.6065,2,20,1.8,3.5,1.0
0.4911,0.1605,0.641,22,0.7923,0.4249,0.216,2,20,1.8,3.5,0.6477
0.3763,0.7344,0.5128,27,0.2935,0.3787,0.4842,0,12,1.2,1.0,0.676
0.8939,0.5794,0.4335,42,0.5088,0.5905,0.3616,0,12,1.2,1.0,0.3113
0.7628,0.628,0.4702,37,0.5038,0.2395,0.7963,2,20,1.8,3.5,0.4577
0.2704,0.5494,0.4767,39,0.8358,0.3288,0.2206,2,20,1.8,3.5,0.5437
0.1472,0.7326,0.4745,1,0.6393,0.7219,0.8497,1,16,1.5,2.0,1.0
0.6515,0.3165,0.7193,24,0.6042,0.6272,0.6277,3,18,1.6,2.5,0.2439
0.451,0.6923,0.786,25,0.3477,0.5003,0.5776,2,20,1.8,3.5,0.5443
0.4936,0.182,0.5063,27,0.3891,0.8636,0.106,0,12,1.2,1.0,0.5729
0.3974,0.572,0.7793,40,0.815,0.2301,0.3309,2,20,1.8,3.5,0.6192
0.1041,0.463,0.4717,2,0.4594,0.8251,0.5683,3,18,1.6,2.5,0.1615
0.2186,0.4922,0.2106,35,0.5185,0.5466,0.4551,1,16,1.5,2.0,1.0
0.2186,0.898,0.6148,32,0.6075,0.2719,0.7005,3,18,1.6,2.5,0.0
0.7015,0.7992,0.2381,43,0.8514,0.8176,0.6099,3,18,1.6,2.5,0.5421
0.5839,0.4938,0.7586,24,0.7813,0.4524,0.3336,0,12,1.2,1.0,0.6042
0.6098,0.2462,0.6507,22,0.663,0.2257,0.1448,1,16,1.5,2.0,0.9678
0.2444,0.7092,0.4955,19,0.6976,0.2962,0.8287,3,18,1.6,2.5,0.2252
0.1683,0.5579,0.4476,20,0.3937,0.497,0.3845,1,16,1.5,2.0,0.8776
0.5358,0.6845,0.2909,3,0.4983,0.48,0.5511,0,12,1.2,1.0,0.4474
0.3193,0.6182,0.4974,32,0.5751,0.5897,0.5935,1,16,1.5,2.0,0.9056
0.4996,0.8528,0.7678,19,0.805,0.4368,0.8794,1,16,1.5,2.0,0.5664
0.4516,0.3796,0.6116,16,0.6283,0.4371,0.5015,1,16,1.5,2.0,1.0
0.7374,0.5811,0.6099,1,0.737,0.5076,0.3034,3,18,1.6,2.5,0.6424
0.5416,0.291,0.6685,35,0.3682,0.6062,0.6582,0,12,1.2,1.0,0.5884
0.7046,0.8216,0.2986,3,0.5305,0.4591,0.7367,3,18,1.6,2.5,0.6452
0.646,0.4268,0.3604,36,0.5586,0.5512,0.8392,1,16,1.5,2.0,0.9208
0.6333,0.628,0.639,29,0.7416,0.1317,0.7493,3,18,1.6,2.5,0.1166
0.5777,0.5795,0.5149,17,0.7515,0.2376,0.1824,3,18,1.6,2.5,0.2453
0.8094,0.1787,0.5877,11,0.2745,0.2838,0.7686,2,20,1.8,3.5,0.6246
0.4996,0.4177,0.3099,23,0.3155,0.3401,0.2614,1,16,1.5,2.0,0.9978
0.3295,0.2325,0.6851,9,0.7871,0.7251,0.3975,2,20,1.8,3.5,0.6704
0.8896,0.3864,0.3437,34,0.8519,0.2997,0.8421,0,12,1.2,1.0,0.122
0.5721,0.4202,0.4376,3,0.6835,0.691,0.525,1,16,1.5,2.0,0.9111
0.6085,0.4931,0.6945,40,0.8221,0.5196,0.5074,0,12,1.2,1.0,0.2052
0.5258,0.2763,0.4984,26,0.3352,0.2698,0.7882,1,16,1.5,2.0,0.9394
0.4881,0.2852,0.4702,1,0.7235,0.746,0.6622,3,18,1.6,2.5,0.2348
0.2197,0.3775,0.6992,31,0.1601,0.7771,0.7246,0,12,1.2,1.0,0.586
0.5225,0.1334,0.2891,8,0.6632,0.344,0.7484,1,16,1.5,2.0,1.0
0.1035,0.3398,0.6386,29,0.3524,0.5455,0.1331,3,18,1.6,2.5,0.0
0.1126,0.1779,0.7246,3,0.8186,0.7679,0.7121,2,20,1.8,3.5,0.8596
0.2072,0.1827,0.215,5,0.1153,0.6502,0.4111,0,12,1.2,1.0,1.0
0.4831,0.3267,0.2687,25,0.791,0.6998,0.8452,2,20,1.8,3.5,0.7756
0.7766,0.6781,0.7658,31,0.7429,0.5065,0.4494,1,16,1.5,2.0,0.7828
0.4461,0.8017,0.7666,10,0.2542,0.4364,0.3845,2,20,1.8,3.5,0.6162
0.1563,0.6233,0.4801,12,0.1508,0.1424,0.8137,1,16,1.5,2.0,0.711
0.5413,0.114,0.6626,3,0.4067,0.6173,0.2076,0,12,1.2,1.0,0.5848
0.7682,0.5156,0.4192,13,0.6792,0.3725,0.7476,1,16,1.5,2.0,0.9162
0.3823,0.2831,0.4146,17,0.8653,0.6019,0.626,1,16,1.5,2.0,1.0
0.3914,0.4729,0.786,30,0.2232,0.8928,0.3154,2,20,1.8,3.5,0.4574
0.8001,0.5926,0.7556,21,0.128,0.6495,0.6767,3,18,1.6,2.5,0.0239
0.8276,0.7407,0.4202,38,0.2701,0.2764,0.5714,0,12,1.2,1.0,0.592
0.2191,0.5388,0.3502,17,0.785,0.1925,0.3018,3,18,1.6,2.5,0.1522
0.3392,0.7527,0.2303,21,0.5918,0.4196,0.7325,1,16,1.5,2.0,0.9122
0.5108,0.4709,0.6227,40,0.1478,0.4501,0.4998,3,18,1.6,2.5,0.1779
0.7073,0.8096,0.7072,21,0.7354,0.2861,0.1205,2,20,1.8,3.5,1.0
0.428,0.8054,0.6735,5,0.1139,0.3199,0.3884,1,16,1.5,2.0,1.0
0.8226,0.2768,0.6715,44,0.3825,0.1129,0.1262,2,20,1.8,3.5,0.5395
0.7777,0.6056,0.6642,25,0.3103,0.1318,0.7539,2,20,1.8,3.5,0.6945
0.8012,0.3962,0.3656,19,0.5835,0.6634,0.1729,2,20,1.8,3.5,0.9015
0.5567,0.5386,0.2558,4,0.6069,0.5336,0.2492,1,16,1.5,2.0,0.9927
0.3181,0.154,0.37,38,0.119,0.131,0.2647,2,20,1.8,3.5,0.252
0.412,0.2841,0.3933,4,0.4458,0.112,0.5375,3,18,1.6,2.5,0.0
0.1475,0.3619,0.3633,22,0.3387,0.4873,0.3009,0,12,1.2,1.0,0.9663
0.8141,0.6211,0.624,30,0.5587,0.6624,0.3854,1,16,1.5,2.0,0.5099
0.7179,0.3297,0.3997,22,0.5021,0.7491,0.5512,0,12,1.2,1.0,0.7221
0.4282,0.6541,0.5086,40,0.5877,0.6908,0.6005,2,20,1.8,3.5,0.6655
0.6329,0.8412,0.6419,29,0.8184,0.8203,0.3812,2,20,1.8,3.5,0.9504
0.886,0.2655,0.4382,34,0.5885,0.8701,0.3445,1,16,1.5,2.0,0.602
0.7228,0.6569,0.553,9,0.3256,0.2098,0.3672,2,20,1.8,3.5,0.6782
0.6221,0.7825,0.2952,36,0.1975,0.4041,0.2385,2,20,1.8,3.5,0.6391
0.7869,0.4358,0.2652,16,0.7749,0.4281,0.8488,0,12,1.2,1.0,0.2604
0.5057,0.4649,0.6641,19,0.2016,0.4267,0.3262,3,18,1.6,2.5,0.2318
0.6878,0.3339,0.445,20,0.8455,0.4789,0.1147,1,16,1.5,2.0,0.8197
0.1772,0.6046,0.5081,34,0.5401,0.2402,0.8152,3,18,1.6,2.5,0.2328
0.4365,0.5875,0.5315,19,0.1722,0.4952,0.2801,2,20,1.8,3.5,0.68
0.779,0.1149,0.642,25,0.1079,0.1109,0.4728,0,12,1.2,1.0,0.9791
0.3491,0.8397,0.4527,12,0.4673,0.6016,0.5046,0,12,1.2,1.0,0.6731
0.2508,0.6595,0.4102,26,0.4205,0.2772,0.7877,3,18,1.6,2.5,0.2985
0.2345,0.6748,0.3789,23,0.4608,0.7268,0.5594,1,16,1.5,2.0,1.0
0.89,0.6688,0.3673,20,0.7799,0.4446,0.6276,3,18,1.6,2.5,0.7531
0.202,0.683,0.4662,24,0.4742,0.5656,0.7055,1,16,1.5,2.0,0.9822
0.6474,0.8954,0.2945,30,0.7323,0.6068,0.7897,0,12,1.2,1.0,0.2849
0.1101,0.6382,0.327,4,0.6532,0.625,0.406,1,16,1.5,2.0,1.0
0.8553,0.2846,0.2717,2,0.4661,0.3386,0.474,0,12,1.2,1.0,0.676
0.2975,0.3777,0.7603,28,0.1386,0.3488,0.8495,1,16,1.5,2.0,0.5045
0.7549,0.3138,0.2815,25,0.6614,0.7762,0.2928,1,16,1.5,2.0,0.4752
0.4914,0.5018,0.7151,7,0.7059,0.5541,0.2083,1,16,1.5,2.0,1.0
0.8474,0.7932,0.7901,5,0.6166,0.2668,0.6138,2,20,1.8,3.5,1.0
0.4019,0.646,0.251,20,0.7065,0.764,0.492,2,20,1.8,3.5,0.8664
0.5579,0.2026,0.2549,11,0.2012,0.4338,0.4294,3,18,1.6,2.5,0.0
0.6641,0.7132,0.6019,39,0.3889,0.2466,0.5337,1,16,1.5,2.0,0.9034
0.8231,0.2572,0.3281,6,0.3558,0.2332,0.8885,1,16,1.5,2.0,1.0
0.6916,0.6809,0.3467,37,0.5277,0.7888,0.6916,1,16,1.5,2.0,0.4931
0.1346,0.5859,0.4854,42,0.617,0.8613,0.8228,1,16,1.5,2.0,1.0
0.8674,0.4165,0.2606,17,0.6283,0.7411,0.8504,1,16,1.5,2.0,0.6164
0.3985,0.3253,0.5641,20,0.6059,0.2561,0.457,2,20,1.8,3.5,0.5159
0.5163,0.2714,0.7335,42,0.6852,0.1899,0.4574,3,18,1.6,2.5,0.0888
0.135,0.422,0.3882,30,0.8409,0.8479,0.1115,3,18,1.6,2.5,0.2172
0.1146,0.5836,0.5051,19,0.1421,0.1839,0.3504,1,16,1.5,2.0,0.7094
0.2431,0.781,0.2171,9,0.8336,0.7974,0.3842,0,12,1.2,1.0,0.2117
0.2218,0.6123,0.7299,12,0.2335,0.563,0.6985,1,16,1.5,2.0,1.0
0.4033,0.3273,0.6113,9,0.2942,0.2459,0.394,0,12,1.2,1.0,0.9039
0.6799,0.1862,0.4556,38,0.536,0.7304,0.8139,2,20,1.8,3.5,0.7028
0.8269,0.8083,0.4183,8,0.5122,0.7487,0.6984,3,18,1.6,2.5,0.4892
0.2769,0.6889,0.2083,23,0.2591,0.3987,0.7745,3,18,1.6,2.5,0.1246
0.631,0.3892,0.5332,11,0.814,0.465,0.6761,3,18,1.6,2.5,0.2811
0.8517,0.682,0.4588,11,0.2465,0.8528,0.304,1,16,1.5,2.0,0.5152
0.4617,0.6809,0.6096,30,0.312,0.2885,0.5826,1,16,1.5,2.0,1.0
0.8115,0.5036,0.4267,32,0.745,0.6205,0.133,1,16,1.5,2.0,0.5296
0.4851,0.5259,0.7764,29,0.7461,0.8164,0.4021,0,12,1.2,1.0,0.2262
0.2971,0.6302,0.2419,31,0.7053,0.7356,0.6923,3,18,1.6,2.5,0.2027
0.6847,0.5794,0.2306,12,0.4385,0.5343,0.2444,1,16,1.5,2.0,1.0
0.8661,0.3837,0.2909,16,0.4605,0.8338,0.4699,1,16,1.5,2.0,0.3836
0.2796,0.1276,0.6448,31,0.7304,0.5403,0.6693,1,16,1.5,2.0,0.8916
0.224,0.4345,0.4141,2,0.6986,0.8271,0.5754,2,20,1.8,3.5,0.5524
0.3363,0.8245,0.3258,11,0.8369,0.1213,0.6991,0,12,1.2,1.0,0.6079
0.6331,0.2491,0.7383,40,0.3436,0.7264,0.5539,0,12,1.2,1.0,0.5132
0.4484,0.5019,0.7969,2,0.4896,0.3575,0.503,2,20,1.8,3.5,0.6664
0.2752,0.3764,0.239,23,0.7136,0.6056,0.7495,2,20,1.8,3.5,0.617
0.878,0.462,0.2504,37,0.7168,0.4256,0.4594,2,20,1.8,3.5,0.8791
0.1135,0.6258,0.6243,1,0.684,0.2047,0.4986,3,18,1.6,2.5,0.2611
0.4207,0.7281,0.5487,15,0.6966,0.6507,0.7062,2,20,1.8,3.5,1.0
0.179,0.229,0.6853,3,0.8495,0.1103,0.8961,3,18,1.6,2.5,0.0
0.2591,0.5459,0.7908,22,0.8628,0.535,0.3755,1,16,1.5,2.0,0.9742
0.1833,0.6653,0.3965,40,0.8498,0.2599,0.3986,1,16,1.5,2.0,1.0
0.8525,0.7422,0.4299,16,0.7315,0.7712,0.6719,0,12,1.2,1.0,0.1288
0.6219,0.6618,0.7325,36,0.3111,0.423,0.7493,0,12,1.2,1.0,0.6173
0.3227,0.5033,0.5646,24,0.7339,0.4767,0.8157,0,12,1.2,1.0,0.5078
0.7665,0.1393,0.4633,26,0.2552,0.5493,0.7004,1,16,1.5,2.0,0.8655
0.7656,0.3344,0.379,42,0.7273,0.2184,0.2198,0,12,1.2,1.0,0.5936
0.4106,0.4495,0.4707,36,0.4318,0.1034,0.5876,3,18,1.6,2.5,0.0
0.12,0.7219,0.3475,28,0.6134,0.8066,0.3865,3,18,1.6,2.5,0.2074
0.5546,0.7262,0.3976,38,0.5327,0.1349,0.1272,2,20,1.8,3.5,0.5775
0.6126,0.5905,0.6459,34,0.2857,0.6201,0.6747,0,12,1.2,1.0,0.6057
0.4288,0.5711,0.6199,21,0.5512,0.1632,0.2356,1,16,1.5,2.0,1.0
0.404,0.7224,0.6046,11,0.7167,0.2011,0.2285,1,16,1.5,2.0,1.0
0.6246,0.3382,0.3939,10,0.8199,0.83,0.1176,3,18,1.6,2.5,0.6665
0.7095,0.3065,0.336,30,0.7577,0.586,0.1127,0,12,1.2,1.0,0.6694
0.7646,0.5817,0.7135,38,0.8621,0.2659,0.3428,0,12,1.2,1.0,0.1793
0.3503,0.5762,0.4065,25,0.3491,0.453,0.167,2,20,1.8,3.5,0.6484
0.8248,0.7434,0.7239,20,0.1684,0.1565,0.7289,2,20,1.8,3.5,0.5768
0.3216,0.13,0.7904,26,0.3914,0.6442,0.5985,0,12,1.2,1.0,0.601
0.5964,0.3691,0.3024,32,0.8204,0.7012,0.23,2,20,1.8,3.5,1.0
0.4755,0.1169,0.2124,33,0.1854,0.5374,0.1348,1,16,1.5,2.0,0.7331
0.1466,0.5244,0.4116,16,0.3835,0.1005,0.7604,0,12,1.2,1.0,0.9213
0.6327,0.667,0.5329,12,0.4429,0.426,0.3448,2,20,1.8,3.5,0.4427
0.3796,0.47,0.2802,43,0.1067,0.279,0.6438,3,18,1.6,2.5,0.0
0.479,0.5709,0.3638,28,0.6153,0.2052,0.6891,3,18,1.6,2.5,0.2011
0.4227,0.493,0.6334,42,0.3972,0.6406,0.6379,3,18,1.6,2.5,0.0693
0.6143,0.8035,0.5334,31,0.618,0.7455,0.2802,1,16,1.5,2.0,0.574
0.621,0.1277,0.6952,21,0.1888,0.7117,0.2783,1,16,1.5,2.0,1.0
0.4311,0.7562,0.3587,44,0.8989,0.5795,0.2128,2,20,1.8,3.5,0.9511
0.5281,0.3578,0.5099,29,0.6884,0.5984,0.6584,2,20,1.8,3.5,0.7511
0.4386,0.7601,0.6513,7,0.1512,0.6225,0.4553,0,12,1.2,1.0,0.5733
0.12,0.4053,0.3072,33,0.4191,0.7599,0.8131,0,12,1.2,1.0,0.8647
0.32,0.1789,0.7456,5,0.8498,0.6132,0.7292,0,12,1.2,1.0,0.5772
0.586,0.187,0.5952,36,0.7591,0.6159,0.8772,2,20,1.8,3.5,0.7069
0.5415,0.1607,0.2649,18,0.1947,0.2098,0.3084,0,12,1.2,1.0,1.0
0.6565,0.4891,0.7562,20,0.1507,0.7754,0.7741,1,16,1.5,2.0,1.0
0.1563,0.8047,0.7601,7,0.4128,0.2017,0.4022,3,18,1.6,2.5,0.1337
0.1346,0.3194,0.7652,33,0.2208,0.5648,0.8662,0,12,1.2,1.0,1.0
0.306,0.591,0.779,30,0.2773,0.6549,0.509,2,20,1.8,3.5,0.4233
0.4907,0.19,0.6737,36,0.2478,0.4527,0.6144,1,16,1.5,2.0,0.5332
0.7553,0.7746,0.5724,11,0.5534,0.4145,0.4754,2,20,1.8,3.5,1.0
0.7407,0.6967,0.3173,9,0.8723,0.3234,0.8991,3,18,1.6,2.5,0.5565
0.2814,0.6764,0.2288,19,0.768,0.3804,0.3677,2,20,1.8,3.5,0.626
0.426,0.5588,0.6572,9,0.5388,0.48,0.3997,3,18,1.6,2.5,0.0902
0.2159,0.4736,0.5053,34,0.1548,0.4437,0.7094,2,20,1.8,3.5,0.2452
0.5346,0.7975,0.6529,31,0.7344,0.6829,0.785,3,18,1.6,2.5,0.5048
0.503,0.7604,0.2656,32,0.4213,0.5512,0.6791,0,12,1.2,1.0,0.541
0.2733,0.7783,0.359,12,0.4961,0.1324,0.4836,3,18,1.6,2.5,0.1784
0.804,0.5657,0.7949,29,0.2966,0.4547,0.6267,1,16,1.5,2.0,0.9083
0.172,0.5994,0.4303,2,0.311,0.4468,0.512,3,18,1.6,2.5,0.261
0.1059,0.2736,0.2552,29,0.2058,0.7586,0.516,3,18,1.6,2.5,0.0
0.3414,0.4804,0.7867,9,0.5965,0.8667,0.2013,0,12,1.2,1.0,0.5386
